site,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,normalized_alexa_rank,normalized_total_sites_linked_in,train_mask,test_mask,unlabel_mask,label,class_factorized
newamerica.org,0.01377498477034268,0.03611111111111111,0.02445213379469435,0.00011153014483073016,0.82,6.616295553667364e-06,0.39340794094611475,True,False,False,center,0
glowworms.org.uk,0.9405165441393912,0.027777777777777776,0.0,1.1579632523409142e-05,0.0,5.844705514466688e-09,0.24244353329794294,False,False,True,9,9
blazepress.com,0.015763342214835756,0.03611111111111111,0.02837370242214533,6.947779514045485e-05,0.826,5.770077020126888e-06,0.3618635215718074,False,False,True,9,9
911review.com,0.09241287674919267,0.0,0.0,0.0001715613976494565,0.0,9.075871232508073e-07,0.4221103289346043,False,False,True,9,9
edpnc.com,0.039988570363974026,0.049999999999999996,0.03044982698961938,2.4987628076830253e-05,0.581,2.218566475631939e-06,0.29370591860816825,False,False,True,9,9
blacklabor.org,0.38619962014573156,0.027777777777777776,0.0,2.62065367635049e-05,0.0,1.4687508491237948e-07,0.2968803073302517,False,False,True,9,9
911myths.com,0.6547098454559434,0.027777777777777776,0.0,0.0001374319544225664,0.0,4.873805414920543e-08,0.4073266365010193,False,False,True,9,9
moderndiplomacy.eu,0.00789373099989354,0.041666666666666664,0.027450980392156862,6.67352505954369e-05,0.778,1.161458538498585e-05,0.359179283734422,False,False,True,9,9
safeabortionrx.com,0.6240599752776824,0.027777777777777776,0.0,4.875634746698586e-06,0.0,5.567049665595246e-08,0.18479183081464198,False,False,True,9,9
microsoft.com,2.125498290729722e-06,0.08777777777777777,0.054901960784313725,0.10873366357632686,0.467,0.041666578104237885,0.8521143579040502,False,False,True,9,9
transstudent.org,0.18462152083653696,0.027777777777777776,0.0,0.00010177887533733299,0.0,4.0814043883686564e-07,0.3873100163037132,False,False,True,9,9
potrika24.com,0.05530648206744816,0.044444444444444446,0.0502883506343714,4.570907575029925e-06,0.7190000000000001,1.5785091331466665e-06,0.1804903664887513,False,False,True,9,9
hertogfoundation.org,0.25110396532961116,0.027777777777777776,0.0,4.266180403361263e-06,0.0,2.756136510888577e-07,0.1758920216520408,False,False,True,9,9
thejerichomovement.com,0.09241287674919267,0.0,0.0,3.321526171188412e-05,0.0,9.075871232508073e-07,0.3126762931666224,False,False,True,9,9
polytechnic.org,0.038932844604265486,0.03888888888888888,0.023760092272203,8.654251675389991e-05,0.7120000000000001,2.2812321956351856e-06,0.37650167272240626,False,False,True,9,9
