source,target
48132,26811
48132,65100
48132,41419
48132,3758
48132,54096
20425,51822
20425,18660
11077,29077
11077,48360
11077,22069
11077,38844
11077,44980
37968,48234
37968,63569
37968,1917
37968,25028
37968,40144
11479,12126
11479,27066
11479,14453
11479,13279
11479,33810
30036,55834
30036,16560
30036,54096
30036,2698
30036,53534
6877,15257
59305,55834
59305,2698
59305,3351
59305,30036
59305,16560
34920,11060
34920,66485
34920,46365
34920,31524
34920,65778
261,20041
261,43752
261,47501
261,50213
261,58773
18660,574
18660,34324
18660,3278
18660,31057
18660,18017
3351,55834
3351,30036
3351,36823
3351,59305
3351,3232
31022,19811
31022,20857
31022,36111
31022,37895
31022,60129
26842,60678
26842,56152
26842,45021
26842,40169
26842,17529
29118,23188
29118,58605
29118,30036
29118,4872
29118,51153
19965,26669
19965,20821
19965,8147
19965,24915
19965,13048
3232,42448
3232,16560
3232,20118
3232,55834
3232,53534
53734,53913
53734,10323
53734,63402
53734,24507
53734,65498
54968,26483
54968,573
54968,15
54968,13257
54968,16808
19671,67075
19671,42858
19671,55815
19671,28796
19671,1359
13579,65412
13579,64797
13579,38041
13579,63479
13579,19927
22844,6953
22844,29774
22844,45075
22844,17445
22844,39110
21780,65778
21780,44096
21780,59940
21780,11060
21780,34412
24589,942
24589,6151
24589,12225
24589,56759
24589,48412
66296,10073
66296,12845
66296,37966
66296,38230
66296,843
34224,12673
34224,66485
34224,31524
34224,64230
34224,24848
43790,15446
43790,56651
43790,27944
43790,14858
43790,42874
20118,3232
20118,42448
20118,58605
20118,23188
20118,55834
13594,13194
13594,37930
13594,57728
13594,60492
13594,63347
19312,45981
19312,12200
19312,51034
19312,4080
19312,55829
49835,53553
49835,6928
49835,8447
49835,30944
49835,14088
5125,31435
5125,38774
5125,13786
5125,54649
5125,27830
66757,42251
66757,1092
66757,59010
66757,58445
66757,55843
24131,24292
24131,52505
24131,2549
24131,29034
24131,66554
64389,40240
64389,23188
64389,43434
64389,36143
64389,63881
29296,55834
29296,38444
29296,30036
29296,2698
29296,51120
43521,56337
43521,14081
43521,12740
43521,12046
43521,17840
3717,36460
3717,24380
3717,27701
3717,66465
3717,4537
59184,53070
59184,18653
59184,31169
59184,25978
59184,6051
5719,34270
5719,8589
5719,2921
5719,6554
5719,13713
18486,29453
18486,39310
18486,42958
18486,39715
18486,39471
42096,19953
42096,57728
42096,65303
42096,47023
42096,53829
5044,31169
5044,7422
5044,20857
5044,28409
5044,63569
9290,24795
9290,19677
9290,53658
9290,19232
9290,59830
51790,2252
51790,59271
51790,34920
51790,50893
51790,61547
26960,51822
26960,55415
26960,55834
26960,3232
26960,52014
60175,38774
60175,7314
60175,5125
60175,13786
60175,19233
1016,16808
1016,53660
1016,14128
1016,64017
1016,48107
44690,23188
44690,7348
44690,9291
44690,3232
44690,12275
57577,65793
57577,26399
57577,32756
57577,20177
57577,28531
60752,9025
60752,14204
60752,533
60752,52437
60752,64923
29077,11077
29077,40511
29077,33452
29077,60888
29077,6295
16261,53998
16261,2827
16261,18471
16261,64961
16261,8848
19120,48309
19120,20917
19120,67166
19120,30624
19120,3303
41907,5562
41907,11439
41907,59825
41907,23276
41907,1653
19709,43447
19709,31220
